experiment_reldir,diameter(mm)
6.310mm/0,6.31
6.310mm/1,6.31
6.310mm/2,6.31
6.310mm/3,6.31
6.310mm/4,6.31
6.310mm/5,6.31
6.310mm/6,6.31
6.310mm/7,6.31
6.310mm/8,6.31
6.310mm/9,6.31
6.310mm/10,6.31
6.310mm/11,6.31
6.310mm/12,6.31
6.310mm/13,6.31
6.310mm/14,6.31
6.310mm/15,6.31
6.310mm/16,6.31
6.310mm/17,6.31
6.310mm/18,6.31
6.310mm/19,6.31
6.310mm/20,6.31
6.310mm/21,6.31
6.310mm/22,6.31
6.310mm/23,6.31
6.310mm/24,6.31
6.310mm/25,6.31
6.310mm/26,6.31
6.310mm/27,6.31
6.310mm/28,6.31
6.310mm/29,6.31
6.310mm/30,6.31
6.310mm/31,6.31
6.310mm/32,6.31
6.310mm/33,6.31
6.310mm/34,6.31
6.310mm/35,6.31
6.310mm/36,6.31
6.310mm/37,6.31
6.310mm/38,6.31
6.310mm/39,6.31
6.310mm/40,6.31
6.310mm/41,6.31
6.310mm/42,6.31
6.310mm/43,6.31
9.500mm/0,9.5
9.500mm/1,9.5
9.500mm/2,9.5
9.500mm/3,9.5
9.500mm/4,9.5
9.500mm/5,9.5
9.500mm/6,9.5
9.500mm/7,9.5
9.500mm/8,9.5
9.500mm/9,9.5
9.500mm/10,9.5
9.500mm/11,9.5
9.500mm/12,9.5
9.500mm/13,9.5
9.500mm/14,9.5
9.500mm/15,9.5
9.500mm/16,9.5
9.500mm/17,9.5
9.500mm/18,9.5
9.500mm/19,9.5
9.500mm/20,9.5
9.500mm/21,9.5
9.500mm/22,9.5
